Product,Revenue,Revenue_MAN,Revenue_WOMAN,Items_sold,Items_sold_MAN,Items_sold_WOMAN,Number_of_fragrancies,Fragrancies_MAN,Fragrancies_WOMAN,Tital_items,Items_MAN,Items_WOMAN
"Versace Pour Homme Oud Noir 34 oz EDP Cologne for Men New In Box",171050,171050,0,3110,3110,0,1,1,0,1,1,0
"MONT BLANC LEGEND 33  34 oz EDT Cologne for Men New In Box",161024,161024,0,5032,5032,0,1,1,0,1,1,0
"POLO SPORT Ralph Lauren 42 oz Cologne for Men EDT New in Box",160736,160736,0,5023,5023,0,1,1,0,1,1,0
"Eclat DArpege by Lanvin 33  34 oz EDP Perfume for Women New In Box",158317,0,158317,5107,0,5107,1,0,1,1,0,1
"Polo Green by Ralph Lauren Cologne for Men 4  40 oz Brand New In Box",158200,158200,0,4520,4520,0,1,1,0,1,1,0
"LHomme by Yves Saint Laurent YSL 33  34 oz EDT Cologne for Men New In Box",152863,152863,0,2153,2153,0,1,1,0,1,1,0
"360 by Perry Ellis Perfume 33  34 oz Spray for Women edt NEW IN BOX",151925,0,151925,6077,0,6077,1,0,1,1,0,1
"Club de Nuit Sillage by Armaf 36 oz EDP Cologne for Men New In Box",151640,151640,0,4460,4460,0,1,1,0,1,1,0
"Guess Marciano perfume for women EDP 33  34 oz New in Box",151160,0,151160,7558,0,7558,1,0,1,1,0,1
"Obsession Night by CK Calvin Klein 40 oz EDT Cologne for Men New In Box",150556,150556,0,5377,5377,0,1,1,0,1,1,0
"Bentley Intense by Bentley 34 oz EDP Cologne for Men New In Box",149205,149205,0,5145,5145,0,1,1,0,1,1,0
"Euphoria by Calvin Klein 34 oz EDT Cologne for Men New In Box",141664,141664,0,4427,4427,0,1,1,0,1,1,0
"CONTRADICTION by Calvin Klein 34 oz EDP Perfume For Women New in Box Sealed",138164,0,138164,5314,0,5314,1,0,1,1,0,1
"THALLIUM by YVES DE SISTELLE Men Cologne 33 oz edt 34 New in Box",137807,137807,0,7253,7253,0,1,1,0,1,1,0
"Club de Nuit Intense by Armaf 68 oz EDP Cologne for Men New In Box",137700,137700,0,2550,2550,0,1,1,0,1,1,0
"Romance by Ralph Lauren 34 oz EDP Perfume for Women New In Box",136877,0,136877,3041,0,3041,1,0,1,1,0,1
"Deep Red by Hugo Boss Perfume for women 30 oz edp New in Box",134379,0,134379,4977,0,4977,1,0,1,1,0,1
"DRAKKAR NOIR by Guy Laroche cologne for men EDT 67  68 oz New in Box",134244,134244,0,4972,4972,0,1,1,0,1,1,0
"PACO RABANNE pour homme Cologne for Men EDT  33  34 oz New Tester",133392,133392,0,4764,4764,0,1,1,0,1,1,0
"PARIS HILTON 34  33 oz edp Perfume for Women New in Box",133392,0,133392,5558,0,5558,1,0,1,1,0,1
"LEAU DISSEY By Issey Miyake cologne for him EDT 67  68 oz New in Box",133110,133110,0,2465,2465,0,1,1,0,1,1,0
"Ed Hardy Hearts  Daggers 34 oz edt Cologne Spray for Men New in Box",132660,132660,0,6633,6633,0,1,1,0,1,1,0
"LImperatrice by Dolce  Gabbana DG 33  34 oz EDT Perfume for Women NIB",131781,0,131781,3379,0,3379,1,0,1,1,0,1
"CK Beauty by Calvin Klein 33  34 oz EDP Perfume for Women New In Box",131375,0,131375,5255,0,5255,1,0,1,1,0,1
"VERSACE CRYSTAL NOIR by Gianni Versace for women EDT 30 oz New in Box",130548,0,130548,2838,0,2838,1,0,1,1,0,1
"HERRERA FOR MEN  Carolina Herrera Cologne  EDT  67  68 oz  NEW IN BOX",129558,129558,0,1963,1963,0,1,1,0,1,1,0
